Page;Route;Ouvertures;Lignes lues avant;Lignes lues après;Lignes économisées;Réduction (%);Précision
Accueil / comptoir;/comptoir;10;98850;450;98400;99.5448;
Documents — liste complète;/documents;10;1957298700;1876640;1955422060;99.9041;
Fiche facture;/documents/{id};10;3980;2190;1790;44.9749;"Facture 9852 avec acompte ; compte administrateur."
Impression document;/documents/{id}/print;10;190;190;0;0.0;A4 ou thermique : mêmes lectures initiales.
Nouveau document;/documents/new;10;3650;1860;1790;49.0411;Sans dossier lié ni recherche saisie.
Dossiers — liste;/tickets;10;110;110;0;0.0;
Fiche dossier;/tickets/{id};10;320;300;20;6.25;Dossier 1, simple consultation.
Modifier un dossier;/tickets/{id}/edit;10;3960;2170;1790;45.202;
Impression dossier;/tickets/{id}/print;10;190;190;0;0.0;
Nouveau dossier;/tickets/new;10;3650;1860;1790;49.0411;
Clients — liste;/customers;10;3650;560;3090;84.6575;
Fiche client avec historiques;/customers/{id};10;27296900;15110;27281790;99.9446;"Client 1 ; historiques chargés comme dans le programme."
Nouveau client;/customers/new;10;10;10;0;0.0;
Catalogue — onglet Articles;/catalog;10;170;150;20;11.7647;"3 articles au total dans cet échantillon ; les compteurs des 3 onglets restent chargés."
Vente rapide — ouverture;/sales/new;10;3650;560;3090;84.6575;Panier vide, sans recherche, sans encaissement.
Paiements — mois courant;/payments;10;4850;4850;0;0.0;Du 1 au 11 septembre 2026, 50 éléments par page.
Rapports — écran initial;/reports;10;3882615890;320440;3882295450;99.9917;Après : classements Clients/Articles différés au clic, puis une seule lecture partagée.
Fin de journée;/reports/daily;10;1943702290;104860;1943597430;99.9946;
Stock téléphones;/stocks-smartphone;10;470;130;340;72.3404;"Tous statuts, première page ; 45 appareils."
Réservations téléphones;/reservations-smartphone;10;470;280;190;40.4255;"En attente, première page ; 15 demandes sur 45."
Vacances;/vacances;10;110;50;60;54.5455;"Année 2026 ; 1 employé et 1 absence."
Mails envoyés — liste vide;/inbox;10;30;30;0;0.0;"Aucun e-mail dans ce jeu ; le coût d’une boîte remplie n’est pas représenté."
Paramètres utilisateurs;/settings/users;10;40;40;0;0.0;
Paramètres entreprise;/settings/company;10;30;30;0;0.0;
Modèles SMS;/settings/customer-sms;10;30;30;0;0.0;
Paramètres interface;/settings/interface;10;10;10;0;0.0;
Assistant — sans question;/assistant;10;10;10;0;0.0;Une question SQL a un coût distinct, dépendant de la requête.
Liste des jeux;/games;10;10;10;0;0.0;
Un jeu;/games/{id};10;10;10;0;0.0;
Outil MobileSentrix — ouverture;/tools/mobilesentrix;10;20;20;0;0.0;"Statut uniquement ; aucune recherche fournisseur lancée."
Import Shopify — non configuré;/tools/shopify-import;10;20;20;0;0.0;"Avec une connexion configurée, la lecture des commandes et des imports doit être ajoutée ; elle n’est pas mesurée ici."
Connexion — visite anonyme;/login;10;0;0;0;;Sans soumettre le formulaire. Les autres lignes supposent une session déjà connectée.
TOTAL;;10;7811042270;2333170;7808709100;99.9701;32 pages, chacune dix fois
